"Plot Title: CANUACON061524"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20835570, SEN S/N: 20835570)","Temp, °C (LGR S/N: 20835570, SEN S/N: 20835570)","Coupler Detached (LGR S/N: 20835570)","Coupler Attached (LGR S/N: 20835570)","Host Connected (LGR S/N: 20835570)","Stopped (LGR S/N: 20835570)","End Of File (LGR S/N: 20835570)"
1,06/15/24 10:45:00 AM,65.0,24.62,Logged,,,,
2,06/15/24 11:00:00 AM,76.0,24.60,,,,,
3,06/15/24 11:15:00 AM,75.2,24.62,,,,,
4,06/15/24 11:30:00 AM,73.2,24.64,,,,,
5,06/15/24 11:45:00 AM,72.1,24.66,,,,,
6,06/15/24 12:00:00 PM,72.3,24.70,,,,,
7,06/15/24 12:15:00 PM,72.5,24.72,,,,,
8,06/15/24 12:30:00 PM,72.2,24.76,,,,,
9,06/15/24 12:45:00 PM,71.8,24.80,,,,,
10,06/15/24 01:00:00 PM,71.6,24.84,,,,,
11,06/15/24 01:15:00 PM,71.9,24.89,,,,,
12,06/15/24 01:30:00 PM,72.1,24.92,,,,,
13,06/15/24 01:45:00 PM,72.3,24.94,,,,,
14,06/15/24 02:00:00 PM,72.4,24.96,,,,,
15,06/15/24 02:15:00 PM,72.8,24.99,,,,,
16,06/15/24 02:30:00 PM,73.3,25.00,,,,,
17,06/15/24 02:45:00 PM,73.6,25.01,,,,,
18,06/15/24 03:00:00 PM,74.7,25.00,,,,,
19,06/15/24 03:15:00 PM,74.5,24.99,,,,,
20,06/15/24 03:30:00 PM,74.5,24.98,,,,,
21,06/15/24 03:45:00 PM,74.7,24.96,,,,,
22,06/15/24 04:00:00 PM,74.4,24.96,,,,,
23,06/15/24 04:15:00 PM,74.8,24.94,,,,,
24,06/15/24 04:30:00 PM,74.8,24.93,,,,,
25,06/15/24 04:45:00 PM,75.0,24.92,,,,,
26,06/15/24 05:00:00 PM,75.3,24.90,,,,,
27,06/15/24 05:15:00 PM,75.5,24.88,,,,,
28,06/15/24 05:30:00 PM,75.5,24.87,,,,,
29,06/15/24 05:45:00 PM,75.5,24.86,,,,,
30,06/15/24 06:00:00 PM,76.1,24.84,,,,,
31,06/15/24 06:15:00 PM,76.4,24.82,,,,,
32,06/15/24 06:30:00 PM,75.5,24.81,,,,,
33,06/15/24 06:45:00 PM,75.9,24.78,,,,,
34,06/15/24 07:00:00 PM,76.5,24.76,,,,,
35,06/15/24 07:15:00 PM,76.5,24.74,,,,,
36,06/15/24 07:30:00 PM,76.6,24.72,,,,,
37,06/15/24 07:45:00 PM,76.6,24.71,,,,,
38,06/15/24 08:00:00 PM,76.0,24.69,,,,,
