"Plot Title: CANUAPRESS061524"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20797139, SEN S/N: 20797139)","Temp, °C (LGR S/N: 20797139, SEN S/N: 20797139)","Coupler Detached (LGR S/N: 20797139)","Coupler Attached (LGR S/N: 20797139)","Host Connected (LGR S/N: 20797139)","Stopped (LGR S/N: 20797139)","End Of File (LGR S/N: 20797139)"
1,06/15/24 10:45:00 AM,97.464,24.158,Logged,,,,
2,06/15/24 11:00:00 AM,97.624,23.869,,,,,
3,06/15/24 11:15:00 AM,97.572,23.773,,,,,
4,06/15/24 11:30:00 AM,97.539,23.869,,,,,
5,06/15/24 11:45:00 AM,97.491,23.869,,,,,
6,06/15/24 12:00:00 PM,97.430,23.869,,,,,
7,06/15/24 12:15:00 PM,97.373,23.966,,,,,
8,06/15/24 12:30:00 PM,97.337,23.966,,,,,
9,06/15/24 12:45:00 PM,97.300,23.966,,,,,
10,06/15/24 01:00:00 PM,97.231,24.062,,,,,
11,06/15/24 01:15:00 PM,97.158,24.062,,,,,
12,06/15/24 01:30:00 PM,97.134,24.062,,,,,
13,06/15/24 01:45:00 PM,97.076,24.158,,,,,
14,06/15/24 02:00:00 PM,97.028,24.158,,,,,
15,06/15/24 02:15:00 PM,97.004,24.158,,,,,
16,06/15/24 02:30:00 PM,96.955,24.158,,,,,
17,06/15/24 02:45:00 PM,96.931,24.158,,,,,
18,06/15/24 03:00:00 PM,96.919,24.158,,,,,
19,06/15/24 03:15:00 PM,96.919,24.158,,,,,
20,06/15/24 03:30:00 PM,96.907,24.158,,,,,
21,06/15/24 03:45:00 PM,96.907,24.158,,,,,
22,06/15/24 04:00:00 PM,96.907,24.158,,,,,
23,06/15/24 04:15:00 PM,96.895,24.158,,,,,
24,06/15/24 04:30:00 PM,96.882,24.158,,,,,
25,06/15/24 04:45:00 PM,96.895,24.158,,,,,
26,06/15/24 05:00:00 PM,96.903,24.062,,,,,
27,06/15/24 05:15:00 PM,96.915,24.062,,,,,
28,06/15/24 05:30:00 PM,96.928,24.062,,,,,
29,06/15/24 05:45:00 PM,96.976,24.062,,,,,
30,06/15/24 06:00:00 PM,96.988,24.062,,,,,
31,06/15/24 06:15:00 PM,97.012,24.062,,,,,
32,06/15/24 06:30:00 PM,97.021,23.966,,,,,
33,06/15/24 06:45:00 PM,97.033,23.966,,,,,
34,06/15/24 07:00:00 PM,97.058,23.966,,,,,
35,06/15/24 07:15:00 PM,97.082,23.966,,,,,
36,06/15/24 07:30:00 PM,97.118,23.966,,,,,
37,06/15/24 07:45:00 PM,97.139,23.869,,,,,
38,06/15/24 08:00:00 PM,97.163,23.869,,,,,
39,06/15/24 08:15:00 PM,97.151,23.869,,,,,
40,06/15/24 08:30:00 PM,97.163,23.869,,,,,
41,06/15/24 08:45:00 PM,97.212,23.869,,,,,
42,06/15/24 09:00:00 PM,97.224,23.869,,,,,
43,06/15/24 09:15:00 PM,97.212,23.869,,,,,
44,06/15/24 09:30:00 PM,97.221,23.773,,,,,
45,06/15/24 09:45:00 PM,97.196,23.773,,,,,
46,06/15/24 10:00:00 PM,97.172,23.773,,,,,
47,06/15/24 10:15:00 PM,97.160,23.773,,,,,
48,06/15/24 10:30:00 PM,97.160,23.773,,,,,
49,06/15/24 10:45:00 PM,97.148,23.773,,,,,
50,06/15/24 11:00:00 PM,97.136,23.773,,,,,
51,06/15/24 11:15:00 PM,97.112,23.773,,,,,
52,06/15/24 11:30:00 PM,97.136,23.773,,,,,
53,06/15/24 11:45:00 PM,97.136,23.773,,,,,
54,06/16/24 12:00:00 AM,97.133,23.677,,,,,
55,06/16/24 12:15:00 AM,97.120,23.677,,,,,
56,06/16/24 12:30:00 AM,97.120,23.677,,,,,
57,06/16/24 12:45:00 AM,97.145,23.677,,,,,
58,06/16/24 01:00:00 AM,97.314,23.677,,,,,
59,06/16/24 01:15:00 AM,97.566,23.581,,,,,
60,06/16/24 01:30:00 AM,98.548,23.581,,,,,
61,06/16/24 01:45:00 AM,100.379,23.484,,,,,
62,06/16/24 02:00:00 AM,101.604,23.388,,,,,
63,06/16/24 02:15:00 AM,104.944,23.388,,,,,
64,06/16/24 02:30:00 AM,109.135,23.292,,,,,
65,06/16/24 02:45:00 AM,112.817,23.292,,,,,
66,06/16/24 03:00:00 AM,115.328,23.292,,,,,
67,06/16/24 03:15:00 AM,111.417,23.292,,,,,
68,06/16/24 03:30:00 AM,108.486,23.292,,,,,
69,06/16/24 03:45:00 AM,106.712,23.292,,,,,
70,06/16/24 04:00:00 AM,104.989,23.292,,,,,
71,06/16/24 04:15:00 AM,103.830,23.292,,,,,
72,06/16/24 04:30:00 AM,102.952,23.292,,,,,
73,06/16/24 04:45:00 AM,104.855,23.292,,,,,
74,06/16/24 05:00:00 AM,104.501,23.292,,,,,
75,06/16/24 05:15:00 AM,104.123,23.292,,,,,
76,06/16/24 05:30:00 AM,103.952,23.292,,,,,
77,06/16/24 05:45:00 AM,104.599,23.292,,,,,
78,06/16/24 06:00:00 AM,105.954,23.292,,,,,
79,06/16/24 06:15:00 AM,107.397,23.292,,,,,
80,06/16/24 06:30:00 AM,108.670,23.292,,,,,
81,06/16/24 06:45:00 AM,109.773,23.292,,,,,
82,06/16/24 07:00:00 AM,110.754,23.292,,,,,
83,06/16/24 07:15:00 AM,111.724,23.292,,,,,
84,06/16/24 07:30:00 AM,112.412,23.292,,,,,
85,06/16/24 07:45:00 AM,113.125,23.292,,,,,
86,06/16/24 08:00:00 AM,113.703,23.292,,,,,
87,06/16/24 08:15:00 AM,114.207,23.292,,,,,
88,06/16/24 08:30:00 AM,114.712,23.292,,,,,
89,06/16/24 08:45:00 AM,115.217,23.292,,,,,
90,06/16/24 09:00:00 AM,115.587,23.292,,,,,
91,06/16/24 09:15:00 AM,115.956,23.292,,,,,
92,06/16/24 09:30:00 AM,116.240,23.292,,,,,
93,06/16/24 09:45:00 AM,116.388,23.292,,,,,
94,06/16/24 10:00:00 AM,116.363,23.292,,,,,
95,06/16/24 10:15:00 AM,116.104,23.292,,,,,
96,06/16/24 10:30:00 AM,115.710,23.292,,,,,
97,06/16/24 10:45:00 AM,115.131,23.292,,,,,
98,06/16/24 11:00:00 AM,114.306,23.292,,,,,
99,06/16/24 11:15:00 AM,113.457,23.292,,,,,
100,06/16/24 11:30:00 AM,112.633,23.292,,,,,
101,06/16/24 11:45:00 AM,111.908,23.292,,,,,
102,06/16/24 12:00:00 PM,111.392,23.292,,,,,
103,06/16/24 12:15:00 PM,110.966,23.388,,,,,
104,06/16/24 12:30:00 PM,110.586,23.388,,,,,
105,06/16/24 12:45:00 PM,110.353,23.388,,,,,
106,06/16/24 01:00:00 PM,110.193,23.388,,,,,
107,06/16/24 01:15:00 PM,109.924,23.388,,,,,
108,06/16/24 01:30:00 PM,109.691,23.388,,,,,
109,06/16/24 01:45:00 PM,109.433,23.388,,,,,
110,06/16/24 02:00:00 PM,109.090,23.388,,,,,
111,06/16/24 02:15:00 PM,108.784,23.388,,,,,
112,06/16/24 02:30:00 PM,108.420,23.484,,,,,
113,06/16/24 02:45:00 PM,108.114,23.484,,,,,
114,06/16/24 03:00:00 PM,107.832,23.484,,,,,
115,06/16/24 03:15:00 PM,107.588,23.484,,,,,
116,06/16/24 03:30:00 PM,107.306,23.484,,,,,
117,06/16/24 03:45:00 PM,107.037,23.484,,,,,
118,06/16/24 04:00:00 PM,106.768,23.484,,,,,
119,06/16/24 04:15:00 PM,106.511,23.484,,,,,
120,06/16/24 04:30:00 PM,106.267,23.484,,,,,
121,06/16/24 04:45:00 PM,105.998,23.484,,,,,
122,06/16/24 05:00:00 PM,105.693,23.484,,,,,
123,06/16/24 05:15:00 PM,105.399,23.484,,,,,
124,06/16/24 05:30:00 PM,105.119,23.484,,,,,
125,06/16/24 05:45:00 PM,104.899,23.484,,,,,
126,06/16/24 06:00:00 PM,104.639,23.388,,,,,
127,06/16/24 06:15:00 PM,104.346,23.388,,,,,
128,06/16/24 06:30:00 PM,104.078,23.388,,,,,
129,06/16/24 06:45:00 PM,103.797,23.388,,,,,
130,06/16/24 07:00:00 PM,103.541,23.388,,,,,
