"Plot Title: SINDI061424"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20642776, SEN S/N: 20642776)","Temp, °C (LGR S/N: 20642776, SEN S/N: 20642776)","Coupler Detached (LGR S/N: 20642776)","Coupler Attached (LGR S/N: 20642776)","Host Connected (LGR S/N: 20642776)","Stopped (LGR S/N: 20642776)","End Of File (LGR S/N: 20642776)"
1,06/14/24 03:00:00 PM,96.322,30.356,Logged,,,,
2,06/14/24 03:15:00 PM,96.335,28.655,,,,,
3,06/14/24 03:30:00 PM,96.353,28.555,,,,,
4,06/14/24 03:45:00 PM,96.350,28.456,,,,,
5,06/14/24 04:00:00 PM,96.348,28.357,,,,,
6,06/14/24 04:15:00 PM,96.334,28.159,,,,,
7,06/14/24 04:30:00 PM,96.379,27.961,,,,,
8,06/14/24 04:45:00 PM,96.397,27.862,,,,,
9,06/14/24 05:00:00 PM,96.423,27.665,,,,,
10,06/14/24 05:15:00 PM,96.411,27.567,,,,,
11,06/14/24 05:30:00 PM,96.456,27.370,,,,,
12,06/14/24 05:45:00 PM,96.494,27.272,,,,,
13,06/14/24 06:00:00 PM,96.482,27.173,,,,,
14,06/14/24 06:15:00 PM,96.500,27.075,,,,,
15,06/14/24 06:30:00 PM,96.548,26.977,,,,,
16,06/14/24 06:45:00 PM,96.515,26.879,,,,,
17,06/14/24 07:00:00 PM,96.553,26.781,,,,,
18,06/14/24 07:15:00 PM,96.591,26.683,,,,,
19,06/14/24 07:30:00 PM,96.609,26.585,,,,,
20,06/14/24 07:45:00 PM,96.617,26.488,,,,,
21,06/14/24 08:00:00 PM,96.614,26.390,,,,,
22,06/14/24 08:15:00 PM,96.632,26.292,,,,,
23,06/14/24 08:30:00 PM,96.662,26.292,,,,,
24,06/14/24 08:45:00 PM,96.660,26.195,,,,,
25,06/14/24 09:00:00 PM,96.668,26.097,,,,,
26,06/14/24 09:15:00 PM,96.655,26.000,,,,,
27,06/14/24 09:30:00 PM,96.643,25.902,,,,,
28,06/14/24 09:45:00 PM,96.663,25.902,,,,,
29,06/14/24 10:00:00 PM,96.661,25.805,,,,,
30,06/14/24 10:15:00 PM,96.678,25.708,,,,,
31,06/14/24 10:30:00 PM,96.678,25.708,,,,,
32,06/14/24 10:45:00 PM,96.666,25.610,,,,,
33,06/14/24 11:00:00 PM,96.684,25.513,,,,,
34,06/14/24 11:15:00 PM,96.663,25.513,,,,,
35,06/14/24 11:30:00 PM,96.674,25.513,,,,,
36,06/14/24 11:45:00 PM,96.661,25.416,,,,,
37,06/15/24 12:00:00 AM,96.651,25.416,,,,,
38,06/15/24 12:15:00 AM,96.649,25.319,,,,,
39,06/15/24 12:30:00 AM,96.638,25.319,,,,,
40,06/15/24 12:45:00 AM,96.646,25.222,,,,,
41,06/15/24 01:00:00 AM,96.616,25.222,,,,,
42,06/15/24 01:15:00 AM,96.624,25.125,,,,,
43,06/15/24 01:30:00 AM,96.624,25.125,,,,,
44,06/15/24 01:45:00 AM,96.624,25.125,,,,,
45,06/15/24 02:00:00 AM,96.601,25.028,,,,,
46,06/15/24 02:15:00 AM,96.611,25.028,,,,,
47,06/15/24 02:30:00 AM,96.631,25.028,,,,,
48,06/15/24 02:45:00 AM,96.609,24.931,,,,,
49,06/15/24 03:00:00 AM,96.609,24.931,,,,,
50,06/15/24 03:15:00 AM,96.616,24.835,,,,,
51,06/15/24 03:30:00 AM,96.656,24.835,,,,,
52,06/15/24 03:45:00 AM,96.646,24.835,,,,,
53,06/15/24 04:00:00 AM,96.624,24.738,,,,,
54,06/15/24 04:15:00 AM,96.634,24.738,,,,,
55,06/15/24 04:30:00 AM,96.664,24.738,,,,,
56,06/15/24 04:45:00 AM,96.674,24.738,,,,,
57,06/15/24 05:00:00 AM,96.682,24.641,,,,,
58,06/15/24 05:15:00 AM,96.682,24.641,,,,,
59,06/15/24 05:30:00 AM,96.702,24.641,,,,,
60,06/15/24 05:45:00 AM,96.712,24.641,,,,,
61,06/15/24 06:00:00 AM,96.712,24.641,,,,,
62,06/15/24 06:15:00 AM,96.752,24.641,,,,,
63,06/15/24 06:30:00 AM,96.780,24.545,,,,,
64,06/15/24 06:45:00 AM,96.803,24.641,,,,,
65,06/15/24 07:00:00 AM,96.833,24.641,,,,,
66,06/15/24 07:15:00 AM,96.823,24.641,,,,,
67,06/15/24 07:30:00 AM,96.853,24.641,,,,,
68,06/15/24 07:45:00 AM,96.866,24.738,,,,,
69,06/15/24 08:00:00 AM,96.876,24.738,,,,,
70,06/15/24 08:15:00 AM,96.871,24.931,,,,,
71,06/15/24 08:30:00 AM,96.853,25.028,,,,,
72,06/15/24 08:45:00 AM,96.855,25.125,,,,,
73,06/15/24 09:00:00 AM,96.828,25.222,,,,,
74,06/15/24 09:15:00 AM,96.832,25.416,,,,,
75,06/15/24 09:30:00 AM,96.815,25.513,,,,,
76,06/15/24 09:45:00 AM,96.789,25.708,,,,,
77,06/15/24 10:00:00 AM,96.784,25.902,,,,,
78,06/15/24 10:15:00 AM,96.756,26.000,,,,,
79,06/15/24 10:30:00 AM,96.748,26.097,,,,,
80,06/15/24 10:45:00 AM,96.723,26.292,,,,,
81,06/15/24 11:00:00 AM,96.695,26.390,,,,,
82,06/15/24 11:15:00 AM,96.667,26.488,,,,,
83,06/15/24 11:30:00 AM,96.642,26.683,,,,,
84,06/15/24 11:45:00 AM,96.624,26.781,,,,,
85,06/15/24 12:00:00 PM,96.586,26.879,,,,,
86,06/15/24 12:15:00 PM,96.578,26.977,,,,,
87,06/15/24 12:30:00 PM,96.532,27.173,,,,,
88,06/15/24 12:45:00 PM,96.497,27.370,,,,,
89,06/15/24 01:00:00 PM,96.456,27.764,,,,,
90,06/15/24 01:15:00 PM,96.414,28.159,,,,,
91,06/15/24 01:30:00 PM,96.381,28.456,,,,,
92,06/15/24 01:45:00 PM,96.343,28.555,,,,,
93,06/15/24 02:00:00 PM,96.297,28.754,,,,,
94,06/15/24 02:15:00 PM,96.309,28.853,,,,,
95,06/15/24 02:30:00 PM,96.293,29.053,,,,,
96,06/15/24 02:45:00 PM,96.233,29.053,,,,,
97,06/15/24 03:00:00 PM,96.233,29.053,,,,,
98,06/15/24 03:15:00 PM,96.202,29.053,,,,,
99,06/15/24 03:30:00 PM,96.220,28.953,,,,,
100,06/15/24 03:45:00 PM,96.218,28.853,,,,,
101,06/15/24 04:00:00 PM,96.246,28.754,,,,,
102,06/15/24 04:15:00 PM,96.239,28.456,,,,,
103,06/15/24 04:30:00 PM,96.227,28.357,,,,,
104,06/15/24 04:45:00 PM,96.233,28.159,,,,,
105,06/15/24 05:00:00 PM,96.258,27.961,,,,,
106,06/15/24 05:15:00 PM,96.254,27.764,,,,,
107,06/15/24 05:30:00 PM,96.302,27.665,,,,,
108,06/15/24 05:45:00 PM,96.317,27.468,,,,,
109,06/15/24 06:00:00 PM,96.356,27.370,,,,,
110,06/15/24 06:15:00 PM,96.371,27.173,,,,,
111,06/15/24 06:30:00 PM,96.369,27.075,,,,,
