"Plot Title: SINDICON061424"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20809202, SEN S/N: 20809202)","Full Range, μS/cm (LGR S/N: 20809202, SEN S/N: 20809202)","Temp, °C (LGR S/N: 20809202, SEN S/N: 20809202)","Coupler Detached (LGR S/N: 20809202)","Coupler Attached (LGR S/N: 20809202)","Host Connected (LGR S/N: 20809202)","Stopped (LGR S/N: 20809202)","End Of File (LGR S/N: 20809202)"
1,06/14/24 03:15:00 PM,53.7,49.8,29.70,Logged,,,,
2,06/14/24 03:30:00 PM,56.1,52.0,29.64,,,,,
3,06/14/24 03:45:00 PM,56.1,52.3,29.54,,,,,
4,06/14/24 04:00:00 PM,55.7,51.6,29.42,,,,,
5,06/14/24 04:15:00 PM,60.5,56.4,29.27,,,,,
6,06/14/24 04:30:00 PM,60.4,56.0,29.11,,,,,
7,06/14/24 04:45:00 PM,60.3,56.0,28.94,,,,,
8,06/14/24 05:00:00 PM,57.1,52.7,28.79,,,,,
9,06/14/24 05:15:00 PM,56.9,52.7,28.64,,,,,
10,06/14/24 05:30:00 PM,56.7,52.4,28.51,,,,,
11,06/14/24 05:45:00 PM,56.6,52.4,28.37,,,,,
12,06/14/24 06:00:00 PM,56.1,52.0,28.25,,,,,
13,06/14/24 06:15:00 PM,56.4,52.4,28.14,,,,,
14,06/14/24 06:30:00 PM,55.3,51.3,28.05,,,,,
15,06/14/24 06:45:00 PM,56.2,52.1,27.95,,,,,
16,06/14/24 07:00:00 PM,56.0,51.7,27.86,,,,,
17,06/14/24 07:15:00 PM,56.3,52.1,27.78,,,,,
18,06/14/24 07:30:00 PM,56.8,52.4,27.69,,,,,
19,06/14/24 07:45:00 PM,56.3,52.1,27.61,,,,,
20,06/14/24 08:00:00 PM,56.4,52.4,27.52,,,,,
21,06/14/24 08:15:00 PM,57.1,52.8,27.44,,,,,
22,06/14/24 08:30:00 PM,56.7,52.5,27.35,,,,,
23,06/14/24 08:45:00 PM,56.6,52.5,27.27,,,,,
24,06/14/24 09:00:00 PM,56.0,51.4,27.18,,,,,
25,06/14/24 09:15:00 PM,55.5,51.4,27.10,,,,,
26,06/14/24 09:30:00 PM,55.4,51.4,27.03,,,,,
27,06/14/24 09:45:00 PM,54.8,50.7,26.95,,,,,
28,06/14/24 10:00:00 PM,55.1,51.4,26.89,,,,,
29,06/14/24 10:15:00 PM,55.5,51.4,26.82,,,,,
30,06/14/24 10:30:00 PM,55.0,51.0,26.76,,,,,
31,06/14/24 10:45:00 PM,54.6,50.7,26.71,,,,,
32,06/14/24 11:00:00 PM,54.4,50.3,26.65,,,,,
33,06/14/24 11:15:00 PM,55.3,51.4,26.61,,,,,
34,06/14/24 11:30:00 PM,54.4,50.3,26.58,,,,,
35,06/14/24 11:45:00 PM,55.0,51.0,26.53,,,,,
36,06/15/24 12:00:00 AM,55.2,51.4,26.49,,,,,
37,06/15/24 12:15:00 AM,55.6,51.4,26.44,,,,,
38,06/15/24 12:30:00 AM,55.2,51.0,26.39,,,,,
39,06/15/24 12:45:00 AM,55.8,51.8,26.36,,,,,
40,06/15/24 01:00:00 AM,55.7,51.4,26.31,,,,,
41,06/15/24 01:15:00 AM,55.8,51.8,26.26,,,,,
42,06/15/24 01:30:00 AM,55.9,51.8,26.24,,,,,
43,06/15/24 01:45:00 AM,55.3,51.4,26.19,,,,,
44,06/15/24 02:00:00 AM,55.5,51.4,26.15,,,,,
45,06/15/24 02:15:00 AM,55.6,51.4,26.12,,,,,
46,06/15/24 02:30:00 AM,54.5,50.3,26.08,,,,,
47,06/15/24 02:45:00 AM,55.2,51.1,26.04,,,,,
48,06/15/24 03:00:00 AM,55.2,51.1,26.01,,,,,
49,06/15/24 03:15:00 AM,55.0,51.1,25.97,,,,,
50,06/15/24 03:30:00 AM,54.9,50.7,25.93,,,,,
51,06/15/24 03:45:00 AM,55.0,50.7,25.91,,,,,
52,06/15/24 04:00:00 AM,54.5,50.7,25.88,,,,,
53,06/15/24 04:15:00 AM,54.3,50.3,25.85,,,,,
54,06/15/24 04:30:00 AM,54.7,50.7,25.82,,,,,
55,06/15/24 04:45:00 AM,54.7,50.7,25.80,,,,,
56,06/15/24 05:00:00 AM,54.8,50.7,25.78,,,,,
57,06/15/24 05:15:00 AM,54.8,50.7,25.75,,,,,
58,06/15/24 05:30:00 AM,55.0,51.1,25.73,,,,,
59,06/15/24 05:45:00 AM,54.8,50.7,25.70,,,,,
60,06/15/24 06:00:00 AM,54.9,50.7,25.69,,,,,
61,06/15/24 06:15:00 AM,54.5,50.4,25.69,,,,,
62,06/15/24 06:30:00 AM,54.0,50.0,25.68,,,,,
63,06/15/24 06:45:00 AM,54.1,50.4,25.69,,,,,
64,06/15/24 07:00:00 AM,53.6,49.6,25.70,,,,,
65,06/15/24 07:15:00 AM,53.8,50.0,25.71,,,,,
66,06/15/24 07:30:00 AM,53.8,49.6,25.73,,,,,
67,06/15/24 07:45:00 AM,53.5,49.3,25.79,,,,,
68,06/15/24 08:00:00 AM,54.6,50.3,25.86,,,,,
69,06/15/24 08:15:00 AM,54.3,50.3,25.96,,,,,
70,06/15/24 08:30:00 AM,55.9,51.8,26.10,,,,,
71,06/15/24 08:45:00 AM,53.6,49.6,26.21,,,,,
72,06/15/24 09:00:00 AM,53.7,49.6,26.32,,,,,
73,06/15/24 09:15:00 AM,54.0,50.3,26.48,,,,,
74,06/15/24 09:30:00 AM,57.2,53.2,26.63,,,,,
75,06/15/24 09:45:00 AM,56.6,52.5,26.81,,,,,
76,06/15/24 10:00:00 AM,54.8,51.0,26.95,,,,,
77,06/15/24 10:15:00 AM,54.7,50.6,27.10,,,,,
78,06/15/24 10:30:00 AM,54.9,51.0,27.23,,,,,
79,06/15/24 10:45:00 AM,54.7,50.3,27.34,,,,,
80,06/15/24 11:00:00 AM,56.3,52.1,27.50,,,,,
81,06/15/24 11:15:00 AM,55.2,51.3,27.62,,,,,
82,06/15/24 11:30:00 AM,57.6,53.5,27.77,,,,,
83,06/15/24 11:45:00 AM,55.6,51.7,27.89,,,,,
84,06/15/24 12:00:00 PM,55.9,51.7,27.94,,,,,
85,06/15/24 12:15:00 PM,55.7,51.3,28.06,,,,,
86,06/15/24 12:30:00 PM,59.2,55.0,28.29,,,,,
87,06/15/24 12:45:00 PM,59.3,55.3,28.51,,,,,
