"Plot Title: SINDIDO061424"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20815614, SEN S/N: 20815614)","Temp, °C (LGR S/N: 20815614, SEN S/N: 20815614)","Coupler Attached (LGR S/N: 20815614)","Host Connected (LGR S/N: 20815614)","Stopped (LGR S/N: 20815614)","End Of File (LGR S/N: 20815614)"
1,06/14/24 03:15:00 PM,6.21,28.70,,,,
2,06/14/24 03:30:00 PM,6.22,28.46,,,,
3,06/14/24 03:45:00 PM,6.19,28.36,,,,
4,06/14/24 04:00:00 PM,6.17,28.24,,,,
5,06/14/24 04:15:00 PM,6.10,28.08,,,,
6,06/14/24 04:30:00 PM,6.05,27.94,,,,
7,06/14/24 04:45:00 PM,6.04,27.76,,,,
8,06/14/24 05:00:00 PM,6.02,27.62,,,,
9,06/14/24 05:15:00 PM,6.00,27.46,,,,
10,06/14/24 05:30:00 PM,5.99,27.34,,,,
11,06/14/24 05:45:00 PM,5.98,27.20,,,,
12,06/14/24 06:00:00 PM,5.99,27.08,,,,
13,06/14/24 06:15:00 PM,6.00,26.98,,,,
14,06/14/24 06:30:00 PM,6.00,26.88,,,,
15,06/14/24 06:45:00 PM,6.00,26.78,,,,
16,06/14/24 07:00:00 PM,6.02,26.68,,,,
17,06/14/24 07:15:00 PM,6.01,26.60,,,,
18,06/14/24 07:30:00 PM,6.03,26.52,,,,
19,06/14/24 07:45:00 PM,6.03,26.42,,,,
20,06/14/24 08:00:00 PM,6.04,26.34,,,,
21,06/14/24 08:15:00 PM,6.06,26.26,,,,
22,06/14/24 08:30:00 PM,6.08,26.18,,,,
23,06/14/24 08:45:00 PM,6.07,26.10,,,,
24,06/14/24 09:00:00 PM,6.09,26.02,,,,
25,06/14/24 09:15:00 PM,6.10,25.94,,,,
26,06/14/24 09:30:00 PM,6.10,25.86,,,,
27,06/14/24 09:45:00 PM,6.11,25.78,,,,
28,06/14/24 10:00:00 PM,6.11,25.72,,,,
29,06/14/24 10:15:00 PM,6.12,25.66,,,,
30,06/14/24 10:30:00 PM,6.14,25.58,,,,
31,06/14/24 10:45:00 PM,6.13,25.52,,,,
32,06/14/24 11:00:00 PM,6.14,25.48,,,,
33,06/14/24 11:15:00 PM,6.14,25.44,,,,
34,06/14/24 11:30:00 PM,6.14,25.40,,,,
35,06/14/24 11:45:00 PM,6.15,25.36,,,,
36,06/15/24 12:00:00 AM,6.16,25.30,,,,
37,06/15/24 12:15:00 AM,6.15,25.26,,,,
38,06/15/24 12:30:00 AM,6.16,25.22,,,,
