"Plot Title: TIYU240701DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21091844, SEN S/N: 21091844)","Temp, °C (LGR S/N: 21091844, SEN S/N: 21091844)","Coupler Attached (LGR S/N: 21091844)","Host Connected (LGR S/N: 21091844)","Stopped (LGR S/N: 21091844)","End Of File (LGR S/N: 21091844)"
1,07/01/24 07:00:00 PM,6.47,24.20,,,,
2,07/01/24 07:15:00 PM,6.46,24.14,,,,
3,07/01/24 07:30:00 PM,6.47,24.10,,,,
4,07/01/24 07:45:00 PM,6.49,24.06,,,,
5,07/01/24 08:00:00 PM,6.47,24.04,,,,
6,07/01/24 08:15:00 PM,6.46,24.02,,,,
7,07/01/24 08:30:00 PM,6.48,23.98,,,,
8,07/01/24 08:45:00 PM,6.50,23.96,,,,
9,07/01/24 09:00:00 PM,6.49,23.94,,,,
10,07/01/24 09:15:00 PM,6.47,23.92,,,,
11,07/01/24 09:30:00 PM,6.49,23.90,,,,
12,07/01/24 09:45:00 PM,6.49,23.88,,,,
13,07/01/24 10:00:00 PM,6.51,23.86,,,,
14,07/01/24 10:15:00 PM,6.52,23.84,,,,
15,07/01/24 10:30:00 PM,6.49,23.82,,,,
16,07/01/24 10:45:00 PM,6.52,23.80,,,,
17,07/01/24 11:00:00 PM,6.54,23.76,,,,
18,07/01/24 11:15:00 PM,6.54,23.78,,,,
19,07/01/24 11:30:00 PM,6.56,23.78,,,,
20,07/01/24 11:45:00 PM,6.56,23.88,,,,
21,07/02/24 12:00:00 AM,6.70,23.60,,,,
22,07/02/24 12:15:00 AM,6.76,23.44,,,,
23,07/02/24 12:30:00 AM,6.74,23.44,,,,
24,07/02/24 12:45:00 AM,6.76,23.34,,,,
25,07/02/24 01:00:00 AM,6.81,23.26,,,,
26,07/02/24 01:15:00 AM,6.83,23.22,,,,
27,07/02/24 01:30:00 AM,6.83,23.20,,,,
28,07/02/24 01:45:00 AM,6.84,23.18,,,,
29,07/02/24 02:00:00 AM,6.85,23.18,,,,
30,07/02/24 02:15:00 AM,6.83,23.18,,,,
31,07/02/24 02:30:00 AM,6.83,23.18,,,,
32,07/02/24 02:45:00 AM,6.85,23.18,,,,
33,07/02/24 03:00:00 AM,6.87,23.20,,,,
34,07/02/24 03:15:00 AM,6.91,23.20,,,,
35,07/02/24 03:30:00 AM,6.91,23.18,,,,
36,07/02/24 03:45:00 AM,6.95,23.16,,,,
37,07/02/24 04:00:00 AM,6.92,23.14,,,,
38,07/02/24 04:15:00 AM,6.93,23.14,,,,
39,07/02/24 04:30:00 AM,6.91,23.14,,,,
40,07/02/24 04:45:00 AM,6.90,23.14,,,,
41,07/02/24 05:00:00 AM,6.88,23.14,,,,
42,07/02/24 05:15:00 AM,6.85,23.14,,,,
43,07/02/24 05:30:00 AM,6.83,23.12,,,,
44,07/02/24 05:45:00 AM,6.81,23.12,,,,
45,07/02/24 06:00:00 AM,6.82,23.10,,,,
46,07/02/24 06:15:00 AM,6.81,23.10,,,,
47,07/02/24 06:30:00 AM,6.80,23.10,,,,
48,07/02/24 06:45:00 AM,6.80,23.08,,,,
49,07/02/24 07:00:00 AM,6.80,23.08,,,,
50,07/02/24 07:15:00 AM,6.80,23.08,,,,
51,07/02/24 07:30:00 AM,6.80,23.06,,,,
52,07/02/24 07:45:00 AM,6.79,23.06,,,,
53,07/02/24 08:00:00 AM,6.79,23.06,,,,
54,07/02/24 08:15:00 AM,6.78,23.04,,,,
55,07/02/24 08:30:00 AM,6.77,23.04,,,,
56,07/02/24 08:45:00 AM,6.78,23.04,,,,
57,07/02/24 09:00:00 AM,6.78,23.04,,,,
58,07/02/24 09:15:00 AM,6.78,23.02,,,,
59,07/02/24 09:30:00 AM,6.79,23.02,,,,
60,07/02/24 09:45:00 AM,6.80,23.02,,,,
61,07/02/24 10:00:00 AM,6.85,23.04,,,,
62,07/02/24 10:15:00 AM,6.85,23.04,,,,
63,07/02/24 10:30:00 AM,6.85,23.02,,,,
64,07/02/24 10:45:00 AM,6.92,22.98,,,,
65,07/02/24 11:00:00 AM,6.94,22.96,,,,
66,07/02/24 11:15:00 AM,6.96,22.94,,,,
67,07/02/24 11:30:00 AM,6.97,22.94,,,,
68,07/02/24 11:45:00 AM,6.94,22.94,,,,
69,07/02/24 12:00:00 PM,6.93,22.96,,,,
70,07/02/24 12:15:00 PM,6.91,22.96,,,,
71,07/02/24 12:30:00 PM,6.86,23.00,,,,
72,07/02/24 12:45:00 PM,6.86,23.02,,,,
73,07/02/24 01:00:00 PM,6.85,23.08,,,,
74,07/02/24 01:15:00 PM,6.81,23.10,,,,
75,07/02/24 01:30:00 PM,6.82,23.14,,,,
76,07/02/24 01:45:00 PM,6.81,23.16,,,,
77,07/02/24 02:00:00 PM,6.79,23.20,,,,
78,07/02/24 02:15:00 PM,6.79,23.26,,,,
79,07/02/24 02:30:00 PM,6.78,23.28,,,,
80,07/02/24 02:45:00 PM,6.74,23.32,,,,
81,07/02/24 03:00:00 PM,6.74,23.34,,,,
82,07/02/24 03:15:00 PM,6.72,23.36,,,,
83,07/02/24 03:30:00 PM,6.72,23.36,,,,
84,07/02/24 03:45:00 PM,6.70,23.38,,,,
85,07/02/24 04:00:00 PM,6.68,23.38,,,,
86,07/02/24 04:15:00 PM,6.69,23.40,,,,
87,07/02/24 04:30:00 PM,6.68,23.40,,,,
88,07/02/24 04:45:00 PM,6.67,23.40,,,,
89,07/02/24 05:00:00 PM,6.67,23.40,,,,
90,07/02/24 05:15:00 PM,6.67,23.40,,,,
91,07/02/24 05:30:00 PM,6.68,23.38,,,,
92,07/02/24 05:45:00 PM,6.67,23.38,,,,
93,07/02/24 06:00:00 PM,6.67,23.38,,,,
94,07/02/24 06:15:00 PM,6.67,23.36,,,,
