"Plot Title: TIYU240701PRESS"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20574415, SEN S/N: 20574415)","Temp, °C (LGR S/N: 20574415, SEN S/N: 20574415)","Coupler Detached (LGR S/N: 20574415)","Coupler Attached (LGR S/N: 20574415)","Host Connected (LGR S/N: 20574415)","Stopped (LGR S/N: 20574415)","End Of File (LGR S/N: 20574415)"
1,07/01/24 06:30:00 PM,99.213,24.641,Logged,,,,
2,07/01/24 06:45:00 PM,99.233,24.255,,,,,
3,07/01/24 07:00:00 PM,99.261,24.158,,,,,
4,07/01/24 07:15:00 PM,99.261,24.158,,,,,
5,07/01/24 07:30:00 PM,99.269,24.062,,,,,
6,07/01/24 07:45:00 PM,99.290,24.062,,,,,
7,07/01/24 08:00:00 PM,99.280,24.062,,,,,
8,07/01/24 08:15:00 PM,99.287,23.966,,,,,
9,07/01/24 08:30:00 PM,99.308,23.966,,,,,
10,07/01/24 08:45:00 PM,99.329,23.966,,,,,
11,07/01/24 09:00:00 PM,99.329,23.966,,,,,
12,07/01/24 09:15:00 PM,99.336,23.869,,,,,
13,07/01/24 09:30:00 PM,99.326,23.869,,,,,
14,07/01/24 09:45:00 PM,99.336,23.869,,,,,
15,07/01/24 10:00:00 PM,99.347,23.869,,,,,
16,07/01/24 10:15:00 PM,99.326,23.869,,,,,
17,07/01/24 10:30:00 PM,99.344,23.773,,,,,
18,07/01/24 10:45:00 PM,99.490,23.773,,,,,
19,07/01/24 11:00:00 PM,99.729,23.773,,,,,
20,07/01/24 11:15:00 PM,99.968,23.773,,,,,
21,07/01/24 11:30:00 PM,100.602,23.773,,,,,
22,07/01/24 11:45:00 PM,102.050,23.869,,,,,
23,07/02/24 12:00:00 AM,98.154,23.581,,,,,
24,07/02/24 12:15:00 AM,98.398,23.388,,,,,
25,07/02/24 12:30:00 AM,97.837,23.388,,,,,
26,07/02/24 12:45:00 AM,97.523,23.292,,,,,
27,07/02/24 01:00:00 AM,97.503,23.292,,,,,
28,07/02/24 01:15:00 AM,97.531,23.196,,,,,
29,07/02/24 01:30:00 AM,97.271,23.196,,,,,
30,07/02/24 01:45:00 AM,96.908,23.196,,,,,
31,07/02/24 02:00:00 AM,96.638,23.196,,,,,
32,07/02/24 02:15:00 AM,96.929,23.196,,,,,
33,07/02/24 02:30:00 AM,96.690,23.196,,,,,
34,07/02/24 02:45:00 AM,97.147,23.196,,,,,
35,07/02/24 03:00:00 AM,96.649,23.196,,,,,
36,07/02/24 03:15:00 AM,96.846,23.196,,,,,
37,07/02/24 03:30:00 AM,96.794,23.196,,,,,
38,07/02/24 03:45:00 AM,96.874,23.100,,,,,
39,07/02/24 04:00:00 AM,97.113,23.100,,,,,
40,07/02/24 04:15:00 AM,97.653,23.100,,,,,
41,07/02/24 04:30:00 AM,97.933,23.100,,,,,
42,07/02/24 04:45:00 AM,99.419,23.100,,,,,
43,07/02/24 05:00:00 AM,102.320,23.100,,,,,
44,07/02/24 05:15:00 AM,103.464,23.100,,,,,
45,07/02/24 05:30:00 AM,110.081,23.100,,,,,
46,07/02/24 05:45:00 AM,110.655,23.100,,,,,
47,07/02/24 06:00:00 AM,111.281,23.100,,,,,
